Cod Int;Descrição;Classificação;Soma de estoque_teorico;Soma de estoque_contado;Dif; Cst Med ; Total ;Observações
636;A SAUDE DA MULHER 150ML;PRINCIPAL > 1 - ÉTICOS > MIPS PROPAGADOS > 1.02 - OTC/MIP PROPAG;3;3;0;R$ 15,11; R$ -   ;Ok
110610;AAS 100MG 30CP (EURO);PRINCIPAL > 2 - GENÉRICOS > GEN OTC/MIP ONE;2;2;0;R$ 7,61; R$ -   ;Ok
742;AAS PROTECT 100MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;2;2;0;R$ 18,76; R$ -   ;Ok
374;ABC CR 20G;PRINCIPAL > 3 - SIMILARES > SIM OTC MIP ONE;2;2;0;R$ 7,66; R$ -   ;Ok
1340;ABC SPRAY 30ML;PRINCIPAL > 3 - SIMILARES > SIM OTC MIP ONE;3;3;0;R$ 17,91; R$ -   ;Ok
580;ABLOK 25MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;1;1;0;R$ 2,57; R$ -   ;Ok
1086;ABLOK 50MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;2;2;0;R$ 28,81; R$ -   ;Ok
694;ABLOK PLUS 25/12,5MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;1;1;0;R$ 19,31; R$ -   ;Ok
65228;ABLOK PLUS 25/12,5MG C/60CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.04 - USO CONT PROPAG;1;1;0;R$ 36,93; R$ -   ;Ok
1432;ABLOK PLUS 50/12,5MG C/ 30CP;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;3;3;0;R$ 34,09; R$ -   ;Ok
1879;ABRILAR 7 MG/ML 100ML;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;2;2;0;R$ 36,59; R$ -   ;Ok
110993;ABRILAR HEDERA HELIX L. 7MG/ML XPE 200ML + COPO MEDIDOR;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;1;1;0;R$ 82,94; R$ -   ;Ok
56402;ABRILAR HEDERA HELIX MENTOL L. 7MG/ML XPE 200ML;PRINCIPAL > 1 - ÉTICOS > MPX PROPAGADO > 1.03 - RX PROPAGADO;1;1;0;R$ 70,68; R$ -   ;Ok
110639;ABS ADAPT DIURNO SUAVE SEMPRE LIVRE C/ABAS C/ 32UND(KEN);PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;1;1;0;R$ 14,68; R$ -   ;Ok
63498;ABS ADAPT SECA SEMPRE LIVRE C/ABAS C/ 32UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 22,16; R$ -   ;Ok
73784;ABS ADAPT SUAVE SEMPRE LIVRE C/ABAS C/ 32UND(KEN);PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 11,32; R$ -   ;Ok
110635;ABS ADAPT SUAVE SEMPRE LIVRE C/ABAS C/16UND(KENV);PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;3;3;0;R$ 6,97; R$ -   ;Ok
73586;ABS ADAPT SUAVE SEMPRE LIVRE C/ABAS LV16 PG14(KENV);PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;4;4;0;R$ 6,37; R$ -   ;Ok
57398;ABS ADAPT SV SEMPRE LIVRE C/ABAS  C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 3,13; R$ -   ;Ok
57400;ABS ADAPT SV SEMPRE LIVRE C/ABAS C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 4,40; R$ -   ;Ok
57399;ABS ADAPT SV SEMPRE LIVRE S/ABAS C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;7;7;0;R$ 3,56; R$ -   ;Ok
66807;FRALDA HUGGIES SUPREME CARE ROUPA HIPER M 72 UNIDADES;PRINCIPAL > 7 - LEITES E FRALDAS > FRALDAS INFANTIS;6;0;-6;R$ 83,29;-R$ 499,74;Perda
111629;ABS DISCRETO KIMBERLY POISE ESCAPE URINA C/ABAS 8 UNIDADES;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;2;2;0;R$ 6,61; R$ -   ;Ok
59431;ABS GER GERIAMAX POS PARTO C/20 UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;15;15;0;R$ 11,30; R$ -   ;Ok
57391;ABS INT INTIMUS MEDIO C 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 7,77; R$ -   ;Ok
57392;ABS INT INTIMUS MINI C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;3;3;0;R$ 8,36; R$ -   ;Ok
57393;ABS INT INTIMUS SUPER C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 8,75; R$ -   ;Ok
58228;ABS INT OB MEDIO L10P8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;4;4;0;R$ 6,91; R$ -   ;Ok
58220;ABS INT OB ORIGINAL SUPER L10P8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;3;3;0;R$ 7,52; R$ -   ;Ok
62746;ABS INT OB PROCOMFORT MEDIO C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;3;3;0;R$ 8,27; R$ -   ;Ok
62420;ABS INT OB PROCOMFORT MEDIO C/16UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;3;3;0;R$ 13,36; R$ -   ;Ok
62001;ABS INT OB PROCOMFORT MINI C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;2;2;0;R$ 8,54; R$ -   ;Ok
65888;ABS INT OB PROCOMFORT SUP C/ 16 UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;3;3;0;R$ 13,63; R$ -   ;Ok
62747;ABS INT OB PROCOMFORT SUPER C/ 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;3;3;0;R$ 8,05; R$ -   ;Ok
106669;ABS INTERNO INTIMUS MEDIO LV16PG15UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;4;4;0;R$ 13,77; R$ -   ;Ok
106670;ABS INTERNO INTIMUS MINI LV16 PG15UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;1;1;0;R$ 12,34; R$ -   ;Ok
106671;ABS INTERNO INTIMUS SUPER LV16 PG15UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;2;2;0;R$ 15,08; R$ -   ;Ok
111630;ABS LONGO KIMBERLY POISE ESCAPE DE URINA C/ABAS 8 UNIDADES;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;2;2;0;R$ 6,90; R$ -   ;Ok
59600;ABS MAIS CONF NAT C/ABAS LV8PG7UN;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > ABSORVENTES;3;3;0;R$ 2,24; R$ -   ;Ok
61321;ABS MILI D&N COBERTURA SV C/16UND;PRINCIPAL > 5 - PERFUMARIA > HIGIENE PESSOAL, PERFUMARIA E COSMÉTICOS > CUIDADOS COM A PELE;2;2;0;R$ 6,13; R$ -   ;Ok
77644;ABS MILI DIA&NOITE SUAVE C/ABAS 8UND;PRINCIPAL > 5 - PERFUMARIA > UNIVERSO FEMININO > HIGIENE INTIMA;2;2;0;R$ 3,27; R$ -   ;Ok
